timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1654912134560,1435,HTTP Request,200,OK,Thread Group 1-1,text,true,,279999,159,1,1,https://api.publicapis.org/entries,710,0,525
1654912135997,710,HTTP Request,200,OK,Thread Group 1-1,text,true,,1345,151,1,1,https://catfact.ninja/fact,709,0,521
1654912136710,812,HTTP Request,200,OK,Thread Group 1-1,text,true,,455,158,1,1,https://api.agify.io/?name=meelad,812,0,609
1654912137525,714,HTTP Request,200,OK,Thread Group 1-1,text,true,,481,159,1,1,https://api.genderize.io/?name=luc,714,0,510
